factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
VSTD_10,1D,-0.0072,-3.085,0.002083,0.012104
VSTD_10,3D,-0.0093,-2.8216,0.004857,0.022218
VSTD_10,5D,-0.0084,-2.0253,0.043062,0.105208
VSTD_10,10D,-0.0102,-2.0705,0.038624,0.10005
VSTD_10,20D,-0.0143,-2.6181,0.008956,0.037756
VMA_RATIO_20,1D,0.0007,0.2406,0.80989,0.899878
VMA_RATIO_20,3D,-0.0048,-1.4718,0.141348,0.247072
VMA_RATIO_20,5D,-0.0034,-0.8876,0.374952,0.523472
VMA_RATIO_20,10D,-0.008,-1.6733,0.094535,0.179867
VMA_RATIO_20,20D,-0.0067,-1.3489,0.177644,0.29493
VSTD_20,1D,-0.0094,-4.0233,6.1e-05,0.000625
VSTD_20,3D,-0.0142,-4.3782,1.3e-05,0.000224
VSTD_20,5D,-0.0172,-4.3086,1.8e-05,0.000242
VSTD_20,10D,-0.0187,-3.6,0.000331,0.002636
VSTD_20,20D,-0.0209,-3.026,0.002532,0.014096
VMA_RATIO_60,1D,0.0049,1.6356,0.102188,0.191881
VMA_RATIO_60,3D,0.0018,0.4684,0.639609,0.755733
VMA_RATIO_60,5D,0.0028,0.6019,0.547365,0.678183
VMA_RATIO_60,10D,0.0004,0.0673,0.946316,0.992478
VMA_RATIO_60,20D,0.0049,0.7331,0.463621,0.61254
VSTD_60,1D,-0.0072,-2.5358,0.011346,0.044759
VSTD_60,3D,-0.0117,-2.8111,0.005018,0.022713
VSTD_60,5D,-0.0129,-2.4484,0.014492,0.05319
VSTD_60,10D,-0.0128,-1.6097,0.107731,0.199674
VSTD_60,20D,-0.0149,-1.1905,0.234096,0.370078
CORR_PV_5,1D,-0.0065,-2.5238,0.011739,0.045889
CORR_PV_5,3D,-0.0121,-3.6433,0.000281,0.002304
CORR_PV_5,5D,-0.017,-4.1529,3.5e-05,0.000396
CORR_PV_5,10D,-0.0178,-3.5614,0.000384,0.002949
CORR_PV_5,20D,-0.0199,-2.8287,0.004753,0.022215
WVMA_5,1D,-0.0165,-4.65,4e-06,0.000115
WVMA_5,3D,-0.023,-4.407,1.1e-05,0.000215
WVMA_5,5D,-0.0229,-3.4223,0.000642,0.004601
WVMA_5,10D,-0.019,-2.1778,0.02962,0.084911
WVMA_5,20D,-0.0246,-2.0496,0.040623,0.102151
CORR_PV_10,1D,-0.0141,-4.9272,1e-06,4.3e-05
CORR_PV_10,3D,-0.0216,-5.1621,0.0,0.0
CORR_PV_10,5D,-0.0223,-4.2348,2.5e-05,0.000307
CORR_PV_10,10D,-0.025,-3.5013,0.00048,0.003559
CORR_PV_10,20D,-0.0266,-2.6324,0.008588,0.036827
WVMA_10,1D,-0.0198,-5.0601,0.0,0.0
WVMA_10,3D,-0.025,-4.3849,1.3e-05,0.000224
WVMA_10,5D,-0.0214,-2.9863,0.002882,0.015019
WVMA_10,10D,-0.0201,-2.0566,0.039948,0.102151
WVMA_10,20D,-0.0295,-2.1714,0.030104,0.085727
CORR_PV_20,1D,-0.0123,-3.8219,0.000139,0.00122
CORR_PV_20,3D,-0.0185,-3.9769,7.4e-05,0.00074
CORR_PV_20,5D,-0.0202,-3.4028,0.000689,0.004857
CORR_PV_20,10D,-0.0208,-2.4453,0.014619,0.05319
CORR_PV_20,20D,-0.0278,-2.4945,0.012752,0.0481
WVMA_20,1D,-0.0215,-5.1015,0.0,0.0
WVMA_20,3D,-0.0292,-4.7561,2e-06,7.2e-05
WVMA_20,5D,-0.0274,-3.5232,0.000443,0.003342
WVMA_20,10D,-0.0257,-2.4543,0.014258,0.052853
WVMA_20,20D,-0.0346,-2.3082,0.021162,0.067153
TURNOVER_SURGE_5,1D,0.0025,0.9336,0.350699,0.497692
TURNOVER_SURGE_5,3D,0.0061,2.1173,0.034445,0.093177
TURNOVER_SURGE_5,5D,0.0024,0.8448,0.398386,0.545296
TURNOVER_SURGE_5,10D,0.004,1.4605,0.144422,0.249502
TURNOVER_SURGE_5,20D,0.0042,1.724,0.084976,0.165338
TURNOVER_SURGE_20,1D,-0.0003,-0.1169,0.906925,0.965291
TURNOVER_SURGE_20,3D,0.0043,1.3313,0.183352,0.303236
TURNOVER_SURGE_20,5D,0.0028,0.7509,0.452863,0.601022
TURNOVER_SURGE_20,10D,0.0069,1.4426,0.149411,0.25264
TURNOVER_SURGE_20,20D,0.0038,0.761,0.446783,0.595917
TURNOVER_STD_20,1D,-0.0196,-4.9292,1e-06,4.3e-05
TURNOVER_STD_20,3D,-0.0281,-4.7743,2e-06,7.2e-05
TURNOVER_STD_20,5D,-0.029,-3.8109,0.000146,0.001256
TURNOVER_STD_20,10D,-0.0325,-3.0229,0.002557,0.014096
TURNOVER_STD_20,20D,-0.0457,-2.9996,0.002761,0.015019
AMOUNT_RATIO_5_20,1D,-0.0056,-1.9267,0.054252,0.120872
AMOUNT_RATIO_5_20,3D,-0.0014,-0.335,0.73769,0.830384
AMOUNT_RATIO_5_20,5D,0.0001,0.0147,0.988266,1.0
AMOUNT_RATIO_5_20,10D,0.0046,0.6885,0.491249,0.638178
AMOUNT_RATIO_5_20,20D,-0.0012,-0.1699,0.865148,0.932365
LIMIT_UP_SPACE,1D,0.0035,1.1508,0.250048,0.387483
LIMIT_UP_SPACE,3D,-0.0081,-2.1341,0.033037,0.091474
LIMIT_UP_SPACE,5D,-0.008,-1.8115,0.070316,0.144548
LIMIT_UP_SPACE,10D,-0.0124,-2.0731,0.038379,0.100018
