,lightgbm_clf_baseline,lightgbm_reg_baseline,lightgbm_ranker,double_ensemble
2024-07-23,0.26546904892745915,0.09070194109932166,0.2798602422393817,0.08372481052075374
2024-07-24,0.14396168668549517,0.058345781374988685,0.22154442554649673,0.02127526044955286
2024-07-25,0.14072851354996765,5.1651793989444854e-05,0.21143586874264078,0.08668177566257104
2024-07-26,0.1547539954802841,-0.024961196792059274,0.20258977309803317,0.10515016931383074
2024-07-29,0.1301381128195116,0.0023799604665149052,0.16597675333090772,0.10953576873619664
2024-07-30,0.2538543276837867,0.0059309602248567355,0.1772790981885482,0.1279462955405255
2024-07-31,0.23751608202211566,-0.008654866092687516,0.16603792899631392,0.17890126157092776
2024-08-01,0.25109396169558407,-0.00790110968718926,0.1696456241857929,0.14499473312146172
2024-08-02,0.1436430969336915,-0.08292165982018271,0.0405148928131813,0.03620982742437794
2024-08-05,0.12722774339870363,-0.04253694231190206,0.03192648235509781,-0.024982457204243906
2024-08-06,0.12311561051521333,-0.09352087961291514,0.05235333870182479,-0.000631917002468664
2024-08-07,0.09713229943613746,-0.06288234101554521,0.06643104866295584,0.01613445123570329
2024-08-08,0.059790785811519254,-0.005382070184944857,0.07528170225446702,0.04650865856182896
2024-08-09,0.08488134984335775,0.00922217055755619,0.12176320534861433,0.08761540159559299
2024-08-12,0.09260077810234629,0.026949322106943664,0.1009604608903485,0.11063765324587406
2024-08-13,0.1501594401923789,0.03564314782978924,0.11755853503317115,0.1689988443725442
2024-08-14,0.15981657094218196,0.04257287351557215,0.06927634498108098,0.14309511739825684
2024-08-15,0.12374401357349135,0.13208099493819084,0.0789173941989101,0.14370315386450921
2024-08-16,0.10057965337711636,0.10686330132461358,0.05804925214033709,0.12243648077705033
2024-08-19,0.06770907442272259,0.06184592624134316,0.05344970576766881,0.10849153324604834
2024-08-20,0.11299489436263124,0.157466706756919,0.08286142427119549,0.09482851434316247
2024-08-21,0.19863207134035438,0.16666784273934535,0.07207027958143752,0.19528431171866667
2024-08-22,0.19118550094720504,0.1421708125188818,0.08123609237155272,0.1278291571600158
2024-08-23,0.0939811182947503,-0.0328528281352946,-0.07076659192005397,-0.07005375599452919
2024-08-26,0.09899764492309589,-0.00532926255754607,-0.11123494232512701,-0.08951325288689602
2024-08-27,-0.0025060297282645744,0.012854651646012641,-0.12336960198981778,-0.1791525076196253
2024-08-28,-0.0767085816187808,-0.013966418734950902,-0.15388730610255016,-0.266767368985994
2024-08-29,-0.08309460703081964,0.0015963961788933393,-0.18607655244647797,-0.17794446079534637
2024-08-30,-0.10026888846815185,0.0191752135043771,-0.27101366813834665,-0.16566541437994495
2024-09-02,-0.06838348551605918,-0.0003334049644019466,-0.28122397337640304,-0.2271017641661329
2024-09-03,-0.1037531332017128,-0.030846616567949032,-0.2906178749094632,-0.22165258565468052
2024-09-04,-0.12638685177904777,-0.030815543346627988,-0.2362508741034057,-0.21063520368414676
2024-09-05,-0.11987989287750139,-0.047111154659533576,-0.21219584564615995,-0.170225151919115
2024-09-06,-0.10217328969086513,-0.03136246231309556,-0.19434978890672458,-0.17443863506518242
2024-09-09,-0.11322975976411914,-0.06799542035774034,-0.18798678936228044,-0.18762659926247816
2024-09-10,-0.15258598489064853,-0.013867396048837861,-0.18710142441344849,-0.18922586174062084
2024-09-11,-0.1651008548712402,-0.05942941551941968,-0.21014571336835056,-0.20793009123803258
2024-09-12,-0.1846307163855146,-0.03946335441202932,-0.21027820648678544,-0.241198646145323
2024-09-13,-0.2437981138846579,-0.046151094892591935,-0.2475160517096106,-0.262965062931736
2024-09-18,-0.17043228354911313,-0.076739596740891,-0.187378466963832,-0.21290100586901198
2024-09-19,-0.16326137542228092,-0.0749703760646214,-0.1840764522043919,-0.15842869756410036
2024-09-20,-0.17433612375154645,-0.026597659832861636,-0.16599906786443383,-0.14316869469058568
2024-09-23,-0.14996193900630514,-0.007795733585636204,-0.15979440354542523,-0.11451282006890465
2024-09-24,-0.21409086826929855,0.03395096143726147,-0.1605357361342932,-0.18620695625075745
2024-09-25,-0.19657477365026854,0.14144074396298337,-0.15358643990498658,-0.14838299198421082
2024-09-26,-0.16899946925629925,0.059877802081642,-0.16910901326422426,-0.15160315784006512
2024-09-27,-0.06306608012464843,0.14159629481286262,0.010356948245767437,-0.04414421286866615
2024-09-30,0.01712662645062815,0.08330181454954921,0.08356168497632915,-0.06337321029760566
2024-10-08,0.024420739179475046,-0.027973627187478964,0.12021738510587762,-0.024610030989768182
2024-10-09,0.09888722253624752,0.07438252717454014,0.08838566385977739,0.06573639653053098
2024-10-10,0.018182742841533497,-0.019858710934387243,-0.020196975198405548,-0.05668295686263882
2024-10-11,-0.025677038473357776,0.01096121414768196,-0.07160652606432479,-0.1286912035458241
2024-10-14,-0.05328824992845328,-0.031053844942737416,-0.15934316731840298,-0.17291034927206628
2024-10-15,-0.06206361195913249,0.007488868048426521,-0.16168838404105976,-0.15979440493087207
2024-10-16,-0.11729363425001955,0.006919299476519516,-0.1985869205133257,-0.24307965762754022
2024-10-17,-0.14773630197374807,-0.023969676919474873,-0.1860910282382974,-0.2890193124516142
2024-10-18,-0.00282154585561414,-0.05495514965083158,-0.08274182028661839,-0.0981733726696378
2024-10-21,0.0878730227817283,-0.08778784154753892,-0.013319113758542752,0.055658778482204505
2024-10-22,0.04766296231410626,-0.06417892036413006,-0.07867521994468123,-0.04749440294603812
2024-10-23,-0.01706738867073949,-0.030859794675979445,-0.14235413212246303,-0.10346285020818949
2024-10-24,0.0027807477679799913,-0.04504550607079185,-0.16450136042691318,-0.11029648693323289
2024-10-25,0.04449712536204936,-0.061160637622779845,-0.05668445413436863,-0.0076747640867909535
2024-10-28,0.03813912823359781,-0.03134810906088455,0.006525774803495262,0.058521383937059177
2024-10-29,0.06476999778405713,-0.10728024962334633,-0.014786668105572552,-0.15213724047895216
2024-10-30,0.018602363501582505,-0.0979105278981659,-0.04969107567891062,-0.15556557081852954
2024-10-31,0.13610055236896107,-0.03557304426883252,0.01673214736689749,-0.05188276279579561
2024-11-01,0.012698685621408485,-0.10929960865262685,-0.0491169379546732,-0.1720635287171856
2024-11-04,0.0010620309561450224,-0.16493748666980895,-0.08553006232387728,-0.18942526324420295
2024-11-05,0.14186309338517872,-0.06303102778674236,-0.045828653086484795,-0.09014788039935753
2024-11-06,0.16609816740641403,-0.04963426660760208,0.06694443805885278,-0.05960293597858124
2024-11-07,0.20266688123043636,-0.05592718011642977,0.031936994627394535,0.017875299585851608
2024-11-08,0.21048207327617025,0.007895609027782916,0.051126464151622746,0.04118783207370642
2024-11-11,0.32336958644410896,0.03220780687671572,0.08859048631971564,0.18621290617301076
2024-11-12,0.2977431821413963,0.044672199025427545,0.11366963613839917,0.1985815246559362
2024-11-13,0.23163717871382222,0.12380916564670091,0.14853270038276264,0.1906554747178479
2024-11-14,0.19569050276536096,0.09751837708738477,0.16342275656944197,0.10334369962433612
2024-11-15,0.205767051941758,0.15698085284255908,0.16877647055326547,0.15629397744976245
2024-11-18,0.23648530066616405,0.20956699161639913,0.15364828731790983,0.1127019676293232
2024-11-19,0.26685580865115843,0.17354249815341435,0.17236064714014435,0.21928232782665333
2024-11-20,0.24208354749567712,0.16832820159155815,0.15650883383829187,0.16821983159513518
2024-11-21,0.22261507953860446,0.15717582498638408,0.12226479995836745,0.2691257022633746
2024-11-22,0.17848383026415973,0.09500607215481638,0.10104059551843529,0.15492197426296286
2024-11-25,0.23441404663658055,0.1526558199193767,0.14071381491817817,0.2649655837369839
2024-11-26,0.24065508390009008,0.15073047090443026,0.12502862242055526,0.20928754500926658
2024-11-27,0.29372107777150314,0.17408929464119857,0.18476313881846593,0.2807068774100378
2024-11-28,0.1634859853608066,0.13992126634120783,0.1621253918761753,0.2242559345907459
2024-11-29,0.2026347679870572,0.21405820170734124,0.19431047595262443,0.231056906974968
2024-12-02,0.29072296965107514,0.19463342990043087,0.1934991468935813,0.257770310837971
2024-12-03,0.3141661805827987,0.23662668900352593,0.17002295781715224,0.27346050164354563
2024-12-04,0.24835305960437062,0.3209852047884457,0.20793786508184972,0.2907860498442696
2024-12-05,0.34089707666358227,0.3416400335183684,0.19896069558771015,0.3344739331903716
2024-12-06,0.38139666239255676,0.3061392963404374,0.22407520167832204,0.3661936627933843
2024-12-09,0.3333803362617571,0.22541677030867474,0.1358492050804825,0.349263342453599
2024-12-10,0.354113828836546,0.26665720504884227,0.17167881059889215,0.32924778951441513
2024-12-11,0.3101407838116051,0.2995198132077634,0.1484537270371012,0.3234692221258435
2024-12-12,0.28389178764531103,0.2922467268530782,0.09264962342975937,0.34443239159280276
2024-12-13,0.24445437010509372,0.22252821436913808,0.10515849848220554,0.3155282869490677
2024-12-16,0.1738288646268793,0.1979477733502513,0.03203564943279561,0.21532768137559682
2024-12-17,0.09373021037562208,0.18943097401617537,0.02187886846147028,0.22913594000517545
