factor_name,status,research_grade,selection_score,recommended_direction,best_horizon,mean_rank_ic,std_rank_ic,rank_ic_ir,annualized_rank_icir,rank_ic_t_stat,rank_ic_hac_t_stat,rank_ic_p_value,rank_ic_hac_p_value,rank_ic_fdr_p_value,positive_rank_ic_ratio,mean_ic,std_ic,ic_ir,annualized_icir,positive_ic_ratio,naive_t_stat,hac_t_stat,p_value,hac_p_value,fdr_p_value,monotonicity,daily_gross_mean_return,daily_net_mean_return,annualized_return,annualized_volatility,sharpe_ratio,net_sharpe_10bps,turnover,long_turnover,short_turnover,max_drawdown,win_rate,long_only_excess_annual_return,long_only_excess_sharpe,sign_stability,bull_rank_ic,bear_rank_ic,sideways_rank_ic,coverage_ratio,missing_ratio,redundancy_group
KLOW,REJECT,REJECT,-0.0708,1,10D,0.018,0.5071,0.0355,0.126,1.0598,1.0287,0.289515,0.303879,1.0,0.4972,0.0285,0.5167,0.0551,0.1955,0.5286,1.6437,1.6889,0.100592,0.091579,1.0,0.6,-1.2e-05,-0.001128,-0.2476,0.1315,-0.0223,-2.162,0.7432,0.7393,0.7472,-0.6665,0.4549,-0.0063,-0.0365,0.75,-0.0027,0.0694,0.0078,1.0,0.0,0
LOWER_SHADOW_RATIO,REJECT,REJECT,-0.0889,1,20D,0.017,0.507,0.0336,0.1192,1.0026,1.0008,0.31635,0.317205,1.0,0.4938,0.0171,0.5062,0.0337,0.1197,0.5185,1.0069,0.9915,0.31428,0.321695,1.0,0.6,-0.000236,-0.001345,-0.2876,0.1349,-0.4407,-2.5132,0.7383,0.7349,0.7417,-0.7184,0.4354,-0.0153,-0.0875,0.75,0.0021,0.0761,0.0026,1.0,0.0,0
KSFT,REJECT,REJECT,-0.0903,1,20D,0.0254,0.5014,0.0507,0.1801,1.5146,1.5709,0.130221,0.116559,1.0,0.5051,0.027,0.5082,0.0531,0.1886,0.5264,1.586,1.5944,0.113087,0.111197,1.0,0.5,-0.000188,-0.001318,-0.2827,0.1329,-0.3567,-2.4987,0.7523,0.75,0.7545,-0.7183,0.4398,-0.0297,-0.1688,0.75,0.0047,0.0821,0.0136,1.0,0.0,2
INTRADAY_CLOSE_LOC,REJECT,REJECT,-0.0906,1,20D,0.0255,0.5065,0.0504,0.1788,1.5037,1.5652,0.133014,0.117886,1.0,0.4961,0.0299,0.5046,0.0592,0.2103,0.5376,1.7684,1.7312,0.077344,0.083761,1.0,0.5,-0.000281,-0.001411,-0.2994,0.1362,-0.5205,-2.611,0.7523,0.7494,0.7551,-0.7433,0.4342,-0.054,-0.3114,0.75,0.0011,0.0781,0.0161,1.0,0.0,2
STD250,REJECT,REJECT,-0.132,-1,20D,-0.0331,0.5152,-0.0642,-0.228,-1.6274,-0.4895,0.104149,0.624689,1.0,0.4299,-0.0811,0.4962,-0.1634,-0.58,0.419,-4.1404,-1.1895,3.9e-05,0.234677,1.0,0.0,7.8e-05,5.3e-05,0.0133,0.1324,0.1478,0.1001,0.0197,0.0288,0.0106,-0.2276,0.5083,0.0958,0.5163,0.6667,0.0934,-0.167,-0.0307,0.7267,0.2733,0
MAX_RATIO_5,REJECT,REJECT,-0.1364,1,20D,0.0258,0.5241,0.0492,0.1747,1.4656,0.8358,0.143108,0.403473,1.0,0.5017,0.0216,0.5221,0.0413,0.1466,0.5197,1.2302,0.6785,0.218955,0.497653,1.0,0.6,-0.000164,-0.000891,-0.2011,0.133,-0.3112,-1.6869,0.4694,0.425,0.5138,-0.5422,0.4814,0.0046,0.0264,0.5,0.0402,-0.0112,0.0333,0.9956,0.0044,4
MA_RATIO_250,REJECT,REJECT,-0.1741,-1,10D,-0.0331,0.4714,-0.0701,-0.2489,-1.7767,-0.5603,0.076089,0.575468,1.0,0.4252,-0.0595,0.4839,-0.1229,-0.4364,0.4143,-3.1152,-0.9378,0.001921,0.348716,1.0,-0.6,-0.00023,-0.000305,-0.0739,0.1282,-0.4512,-0.5987,0.047,0.0379,0.0561,-0.2993,0.4924,0.0523,0.2933,0.3333,-0.1222,-0.0422,0.003,0.7267,0.2733,11
VMA_RATIO_10,REJECT,REJECT,-0.2188,1,5D,0.0193,0.5153,0.0375,0.133,1.1128,1.3548,0.266092,0.175829,1.0,0.4943,0.0131,0.5167,0.0254,0.0903,0.5034,0.7556,0.8428,0.450064,0.399579,1.0,0.5,-0.000113,-0.001239,-0.2684,0.1329,-0.2134,-2.3504,0.75,0.7466,0.7534,-0.6721,0.4361,0.0044,0.0257,0.75,-0.0046,0.0151,0.0282,0.9901,0.0099,13
MA_RATIO_20,REJECT,REJECT,-0.2355,-1,20D,-0.0283,0.5263,-0.0539,-0.1912,-1.5906,-0.6113,0.112052,0.541177,1.0,0.4633,-0.027,0.5177,-0.0522,-0.1852,0.4908,-1.5404,-0.5738,0.123835,0.566231,1.0,-0.3,7.7e-05,-0.000231,-0.0565,0.1254,0.1552,-0.4637,0.1972,0.1732,0.2213,-0.2646,0.4874,0.0191,0.1078,0.5,0.0054,0.003,-0.0496,0.9791,0.0209,5
ROC_STD_120,REJECT,REJECT,-0.2441,1,20D,0.0295,0.4863,0.0607,0.2156,1.6867,0.5177,0.092075,0.604806,1.0,0.4903,0.0081,0.4994,0.0163,0.0577,0.5162,0.4516,0.1323,0.651709,0.894763,1.0,0.3,-0.000284,-0.000394,-0.0946,0.1291,-0.5538,-0.7693,0.0706,0.0616,0.0796,-0.3363,0.4788,-0.0077,-0.0446,0.5,0.1489,-0.0147,0.0018,0.8683,0.1317,11
