factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
CORR_PV_5,1D,0.01,0.6145,0.539045,1.0
CORR_PV_5,3D,0.0001,0.0069,0.99453,1.0
CORR_PV_5,5D,0.0211,0.9525,0.341108,1.0
CORR_PV_5,10D,0.0525,2.1964,0.028315,0.811804
CORR_PV_5,20D,0.0071,0.2627,0.792835,1.0
WVMA_5,1D,-0.0406,-2.4399,0.014885,0.811804
WVMA_5,3D,-0.0295,-1.4254,0.154403,1.0
WVMA_5,5D,-0.0318,-1.3688,0.171416,1.0
WVMA_5,10D,-0.0462,-1.7166,0.086404,1.0
WVMA_5,20D,-0.0293,-0.8769,0.380801,1.0
CORR_PV_10,1D,0.0026,0.1563,0.875871,1.0
CORR_PV_10,3D,0.0303,1.4861,0.137595,1.0
CORR_PV_10,5D,0.0662,2.9675,0.003082,0.608695
CORR_PV_10,10D,0.0868,3.0257,0.002551,0.608695
CORR_PV_10,20D,0.0445,1.3486,0.177807,1.0
WVMA_10,1D,-0.0133,-0.8319,0.405696,1.0
WVMA_10,3D,-0.025,-1.1703,0.242202,1.0
WVMA_10,5D,-0.0252,-1.0062,0.314614,1.0
WVMA_10,10D,-0.048,-1.4575,0.145337,1.0
WVMA_10,20D,-0.0415,-0.9685,0.333071,1.0
CORR_PV_20,1D,0.0111,0.6646,0.506492,1.0
CORR_PV_20,3D,0.0418,2.007,0.045051,0.847388
CORR_PV_20,5D,0.0559,2.205,0.027708,0.811804
CORR_PV_20,10D,0.0932,2.6327,0.008617,0.811804
CORR_PV_20,20D,0.0406,0.9168,0.359505,1.0
WVMA_20,1D,-0.0021,-0.1269,0.89907,1.0
WVMA_20,3D,-0.0245,-1.0721,0.283985,1.0
WVMA_20,5D,-0.0265,-0.9697,0.33246,1.0
WVMA_20,10D,-0.0449,-1.2153,0.224587,1.0
WVMA_20,20D,-0.035,-0.6947,0.487448,1.0
TURNOVER_SURGE_5,1D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_5,3D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_5,5D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_5,10D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_5,20D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_20,1D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_20,3D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_20,5D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_20,10D,0.0,0.0,1.0,1.0
TURNOVER_SURGE_20,20D,0.0,0.0,1.0,1.0
TURNOVER_STD_20,1D,0.0,0.0,1.0,1.0
TURNOVER_STD_20,3D,0.0,0.0,1.0,1.0
TURNOVER_STD_20,5D,0.0,0.0,1.0,1.0
TURNOVER_STD_20,10D,0.0,0.0,1.0,1.0
