order_id,parent_order_id,symbol,side,signal_date,execution_date,requested_shares,cumulative_filled_shares,remaining_shares,cancelled_shares,filled_shares,signal_price,execution_price,commission,stamp_tax,transfer_fee,slippage,total_cost,status,reason,reject_reason
ORD_000470,,000425.SZ,BUY,2024-02-26,2024-02-27,5100,5100,0,0,5100,6.01,5.99,7.64,0.0,0.31,51.0,58.95,FILLED,Top-K目标建仓/加仓,
ORD_000471,,600989.SH,BUY,2024-02-26,2024-02-27,1800,1800,0,0,1800,14.84,14.85,6.68,0.0,0.27,18.0,24.95,FILLED,Top-K目标建仓/加仓,
ORD_000472,,002532.SZ,BUY,2024-02-26,2024-02-27,5400,5400,0,0,5400,5.65,5.65,7.63,0.0,0.31,54.0,61.94,FILLED,Top-K目标建仓/加仓,
ORD_000473,,000333.SZ,BUY,2024-02-26,2024-02-27,500,500,0,0,500,60.3,60.65,7.58,0.0,0.3,30.0,37.88,FILLED,Top-K目标建仓/加仓,
ORD_000474,,002304.SZ,BUY,2024-02-26,2024-02-27,300,300,0,0,300,100.3,100.3,7.52,0.0,0.3,30.0,37.82,FILLED,Top-K目标建仓/加仓,
ORD_000476,,601878.SH,SELL,2024-03-07,2024-03-08,2700,2700,0,0,2700,10.16,10.12,6.83,13.66,0.27,27.0,47.76,FILLED,"触发跟踪止盈 (最高浮盈: 7.17%, 自高点回撤: 5.58%)",
ORD_000477,,000425.SZ,SELL,2024-03-12,2024-03-13,5100,5100,0,0,5100,6.1,6.07,7.74,15.48,0.31,51.0,74.53,FILLED,"触发跟踪止盈 (最高浮盈: 8.35%, 自高点回撤: 6.01%)",
ORD_000478,,000333.SZ,SELL,2024-03-18,2024-03-19,500,500,0,0,500,62.36,62.14,7.77,15.54,0.31,30.0,53.62,FILLED,"触发跟踪止盈 (最高浮盈: 9.89%, 自高点回撤: 6.44%)",
ORD_000479,,002304.SZ,SELL,2024-03-22,2024-03-25,300,300,0,0,300,101.11,100.34,7.53,15.05,0.3,30.0,52.88,FILLED,"触发跟踪止盈 (最高浮盈: 6.33%, 自高点回撤: 5.19%)",
ORD_000480,,600989.SH,SELL,2024-03-25,2024-03-26,1800,1800,0,0,1800,15.74,15.73,7.08,14.16,0.28,36.0,57.52,FILLED,调仓剔除(掉出Top-K),
ORD_000481,,601066.SH,SELL,2024-03-25,2024-03-26,1200,1200,0,0,1200,21.87,22.13,6.64,13.28,0.27,24.0,44.19,FILLED,调仓剔除(掉出Top-K),
ORD_000482,,600219.SH,SELL,2024-03-25,2024-03-26,900,900,0,0,900,3.34,3.37,5.0,1.52,0.03,0.0,6.55,FILLED,Top-K目标再平衡减仓,
ORD_000487,,002027.SZ,SELL,2024-03-25,2024-03-26,200,200,0,0,200,6.63,6.62,5.0,0.66,0.01,2.0,7.67,FILLED,Top-K目标再平衡减仓,
ORD_000490,,002532.SZ,SELL,2024-03-25,2024-03-26,600,600,0,0,600,6.36,6.36,5.0,1.91,0.04,6.0,12.95,FILLED,Top-K目标再平衡减仓,
