model_id,fold,rank,feature
lightgbm_clf_baseline,4,35,STD5
lightgbm_clf_baseline,4,36,STD10
lightgbm_clf_baseline,4,37,STD20
lightgbm_clf_baseline,4,38,STD30
lightgbm_clf_baseline,4,39,STD60
lightgbm_clf_baseline,4,40,STD120
lightgbm_clf_baseline,4,41,STD250
lightgbm_clf_baseline,4,42,ATR_RATIO_5
lightgbm_clf_baseline,4,43,ATR_RATIO_20
lightgbm_clf_baseline,4,44,ATR_RATIO_60
lightgbm_clf_baseline,4,45,ROC_STD_20
lightgbm_clf_baseline,4,46,ROC_STD_60
lightgbm_clf_baseline,4,47,ROC_STD_120
lightgbm_clf_baseline,4,48,ROC_STD_250
lightgbm_clf_baseline,4,49,MOM_ACC_20_60
lightgbm_clf_baseline,4,50,MOM_ACC_60_120
lightgbm_clf_baseline,4,51,VMA_RATIO_5
lightgbm_clf_baseline,4,52,VSTD_5
lightgbm_clf_baseline,4,53,VMA_RATIO_10
lightgbm_clf_baseline,4,54,VSTD_10
lightgbm_clf_baseline,4,55,VMA_RATIO_20
lightgbm_clf_baseline,4,56,VSTD_20
lightgbm_clf_baseline,4,57,VMA_RATIO_60
lightgbm_clf_baseline,4,58,VSTD_60
lightgbm_clf_baseline,4,59,CORR_PV_5
lightgbm_clf_baseline,4,60,WVMA_5
lightgbm_clf_baseline,4,61,CORR_PV_10
lightgbm_clf_baseline,4,62,WVMA_10
lightgbm_clf_baseline,4,63,CORR_PV_20
lightgbm_clf_baseline,4,64,WVMA_20
lightgbm_clf_baseline,4,65,TURNOVER_SURGE_5
lightgbm_clf_baseline,4,66,TURNOVER_SURGE_20
lightgbm_clf_baseline,4,67,TURNOVER_STD_20
lightgbm_clf_baseline,4,68,AMOUNT_RATIO_5_20
lightgbm_clf_baseline,4,69,LIMIT_UP_SPACE
lightgbm_clf_baseline,4,70,IS_LIMIT_UP_LAG1
lightgbm_clf_baseline,4,71,IS_LIMIT_DOWN_LAG1
lightgbm_clf_baseline,4,72,UPPER_SHADOW_RATIO
lightgbm_clf_baseline,4,73,LOWER_SHADOW_RATIO
lightgbm_clf_baseline,4,74,ENTITY_RATIO
lightgbm_clf_baseline,4,75,INTRADAY_CLOSE_LOC
lightgbm_clf_baseline,4,76,LOG_CIRC_MV
lightgbm_clf_baseline,4,77,EFFICIENCY_RATIO_10
lightgbm_clf_baseline,4,78,AMIHUD_20
lightgbm_clf_baseline,4,79,AMIHUD_20_LN
lightgbm_clf_baseline,5,1,KMID
lightgbm_clf_baseline,5,2,KLEN
lightgbm_clf_baseline,5,3,KMID2
lightgbm_clf_baseline,5,4,KUP
lightgbm_clf_baseline,5,5,KLOW
lightgbm_clf_baseline,5,6,KSFT
lightgbm_clf_baseline,5,7,ROC5
lightgbm_clf_baseline,5,8,MAX_RATIO_5
lightgbm_clf_baseline,5,9,MIN_RATIO_5
lightgbm_clf_baseline,5,10,MA_RATIO_5
lightgbm_clf_baseline,5,11,ROC10
lightgbm_clf_baseline,5,12,MAX_RATIO_10
lightgbm_clf_baseline,5,13,MIN_RATIO_10
lightgbm_clf_baseline,5,14,MA_RATIO_10
lightgbm_clf_baseline,5,15,ROC20
lightgbm_clf_baseline,5,16,MAX_RATIO_20
lightgbm_clf_baseline,5,17,MIN_RATIO_20
lightgbm_clf_baseline,5,18,MA_RATIO_20
lightgbm_clf_baseline,5,19,ROC30
lightgbm_clf_baseline,5,20,MAX_RATIO_30
lightgbm_clf_baseline,5,21,MIN_RATIO_30
lightgbm_clf_baseline,5,22,MA_RATIO_30
lightgbm_clf_baseline,5,23,ROC60
lightgbm_clf_baseline,5,24,MAX_RATIO_60
lightgbm_clf_baseline,5,25,MIN_RATIO_60
lightgbm_clf_baseline,5,26,MA_RATIO_60
lightgbm_clf_baseline,5,27,ROC120
lightgbm_clf_baseline,5,28,MAX_RATIO_120
lightgbm_clf_baseline,5,29,MIN_RATIO_120
lightgbm_clf_baseline,5,30,MA_RATIO_120
lightgbm_clf_baseline,5,31,ROC250
lightgbm_clf_baseline,5,32,MAX_RATIO_250
lightgbm_clf_baseline,5,33,MIN_RATIO_250
lightgbm_clf_baseline,5,34,MA_RATIO_250
lightgbm_clf_baseline,5,35,STD5
lightgbm_clf_baseline,5,36,STD10
lightgbm_clf_baseline,5,37,STD20
lightgbm_clf_baseline,5,38,STD30
